venue_name,zone,radius
Alun-alun Kota Malang,public_area
Taman Trunojoyo Malang,public_area
Taman Adipura Malang,public_area
Taman Singha Merjosari,public_area
Hutan Kota Malabar Malang,public_area
Lapangan Rampal Malang,public_area
Pasar Besar Malang,commercial_area
Pasar Blimbing Malang,commercial_area
Perpustakaan Kota Malang,public_area
Masjid Jami Kota Malang,worship_area
Masjid Sabilillah Malang,worship_area
Masjid Raden Patah Universitas Brawijaya Malang,worship_area
Masjid Al-Hikmah Universitas Negeri Malang,worship_area
Masjid AR Fachruddin UMM Malang,worship_area
Masjid Agung Jami Malang,worship_area
Taman Slamet Malang,public_area
Taman Kota Malang,public_area
Taman Ijen Malang,public_area
Pasar Terpadu Dinoyo Malang,commercial_area
Balai Kota Malang,public_area
Kampung Heritage Kayutangan Malang,public_area
Pasar Madyopuro Malang,commercial_area
Hutan Kota Velodrome Malang,public_area
Taman Wisata Edukasi Buring Kedungkandang,public_area
Alun-alun Kedungkandang Malang,public_area
Pasar Gadang Malang,commercial_area
Pasar Gadang Lama Malang,commercial_area
Pasar Kebalen Malang,commercial_area
Pasar Mergan Malang,commercial_area
Patung Panglima Sudirman Malang,public_area
Taman Tjerme Malang,public_area
Taman Gotong Royong Malang,public_area
Taman Merbabu Malang,public_area
Taman Sains FMIPA Universitas Negeri Malang,public_area
Simpang Balapan Malang,public_area
Taman Pedestrian Dieng Malang,public_area
Taman Bermain Taman Agung Malang,public_area
Taman Raya Langsep Malang,public_area
Taman Wisata Lembah Dieng Malang,public_area
Taman Amprong Sanansari Malang,public_area
Taman Halmahera Malang,public_area
Sungai Andalas Tengah Malang,public_area
Taman Kebun Bibit Mojolangu Malang,public_area
Taman Teluk Grajakan Malang,public_area
Taman Lalu Lintas Merjosari Malang,public_area
Taman Kendedes Malang,public_area
Taman Edukasi Kelurahan Blimbing Malang,public_area
Taman Dempo Malang,public_area
GOR Ken Arok Malang,public_area
Pasar Sawojajar Malang,commercial_area
Pasar Klojen Malang,commercial_area
Pasar Rakyat Bareng Malang,commercial_area
Pasar Krempyeng Bandulan Malang,commercial_area
Pasar Baru Timur Comboran Malang,commercial_area
Pasar Loak Comboran Malang,commercial_area
Pasar Splendid Malang,commercial_area
Masjid Khadijah Malang,worship_area,500
Masjid Al-Falah MAN 2 Kota Malang,worship_area,500
Masjid Tarbiyah UIN Malang,worship_area,500
Masjid Quba Ijen Malang,worship_area,500
Masjid Ahmad Yani Malang,worship_area,500
Masjid Al-Ikhlas Malang,worship_area,500
Masjid Baitut Taqwa Bea Cukai Malang,worship_area,500
Masjid Al-Falah Stasiun Malang Kotabaru,worship_area,500
Masjid Nur Inka Museum Brawijaya Malang,worship_area,500
Masjid Al-Huda Embong Arab Malang,worship_area,500
Masjid An-Nur Samaan Malang,worship_area,500
Masjid Ibnu Sina Veteran Malang,worship_area,500
Masjid Al-Hidayah Gading Kasri Malang,worship_area,500
Masjid Jami Nurul Falah Malang,worship_area,500
Masjid Darussalam Al-Wahid Malang,worship_area,500
Masjid Darussalam PNP Tanjungrejo Malang,worship_area,500
Masjid Al-Amien Sukun Gempol Malang,worship_area,500
Masjid Al-Anshor Sukun Malang,worship_area,500
Masjid Ar-Ridho Jalan Gamalama Malang,worship_area,500
Masjid Jami Arroudloh Malang,worship_area,500
Masjid Abu Bakar Dieng Malang,worship_area,500
Hutan Tidar Malang,public_area,1000
Masjid Jami Nurul Hikmah Arjowinangun Malang,worship_area,500
Masjid Firdaus Kemantren Malang,worship_area,500
Masjid Jami Annanawi Kemantren Malang,worship_area,500
Masjid Besar Al-Ihsan Wagir Malang,worship_area,500
Masjid Griyo Muslim Mulyorejo Malang,worship_area,500
Masjid Hidayatullah Sudimoro Malang,worship_area,500
Masjid Cahyaningati Malang,worship_area,500
Taman Bermain Permata Jingga Malang,public_area,1000
Taman Griya Shanta Malang,public_area,1000
Taman Pandanwangi Malang,public_area,1000
Taman Indragiri Malang,public_area,1000
Taman Kyai Malik Malang,public_area,1000
Masjid Jami Al-Falah Tlogowaru Malang,worship_area,500
Tlogomas Park Malang,public_area,1000